sku,name,description,price,terms,section,image_downloads
327624100-505-1,CLASSIC BELTED TRENCH,Lapel collar trench coat with long sleeves with belted cuffs. Front welt pockets. Front double breasted button closure with self-belt.,109.0,coats,WOMAN,"['8431b6d5-1904-453b-b7c5-fac1e93c4050', '43a5377b-2d66-4b4c-a264-236cfb7ff5c1', 'a269f930-81de-478f-8775-4217656d0c69', '2e037a98-3e9f-4fd9-aad8-6e28d30fca04', '7f857a6b-6ee9-4e18-b775-8a7d29a77ac2', '849e39ee-c9fc-416a-8dab-3d6d5645d3ef', 'd6e99565-2f2d-46b9-a629-8a86e2a67c1d', '2319e527-f5cc-41e3-a817-5dd8ad5d2eb9', 'f515ce6f-d81a-4d37-ac21-8b9344f4abe1']"
312550137-800-1,MANTECO WOOL COAT ZW COLLECTION,"ZARA WOMAN COLLECTION

Coat made of Manteco wool blend fabric. Lapel collar and long sleeves with buttoned slit cuffs. Front flap pockets and chest welt pocket. Tonal interior lining. Front double breasted buttoned closure.",229.0,coats,WOMAN,"['342516dd-9c98-4df0-b5b3-4dbc39033fe5', '209eb4ec-d24d-47b1-8e2a-6949c0afe061', 'a39e47d5-4d62-42c6-adef-d55564f8324c', 'feeeb2e6-f0e7-4e8c-b10d-809dbe49d2aa', '94afbe0e-d8f8-45f0-be72-88732f1d2425', '507cd37e-fe2a-416d-9346-b17a6a1ffe7f', '0cac12d7-b5a5-46d0-b28c-8b111c1eaef5', '8ea9bc48-142c-4e0f-b0fe-eed896400eba', 'b1c8ee18-78c4-4a46-830b-b086e46ce90b', '6d6b122c-c670-416c-ac9d-9bd08a4f042e', 'c856f223-7845-4597-be7a-4fab3c390dd8', '3341a82e-6a91-40f7-8168-92e216a33a3a', 'e29c4033-ba34-4e53-b0c4-4d6c51a66435', '97d0a00b-4d97-4906-9af8-1f99a55f3498', '998ae039-4151-44d8-a21e-1591d1f4f1fa']"
344671302-800-1,OVERSIZED FAUX LEATHER TRENCH,Roomy trench coat with lapel collar. Long sleeves with epaulettes and belted cuffs. Front welt pockets. Back slit. Front double breasted buttoned closure and self belt.,129.0,coats,WOMAN,"['e293ba8f-a82c-45b8-bd0e-ead891d1988d', '3142efed-6b24-4ac5-8edc-89424702a04b', 'a4f4230d-f6e7-4a9f-af60-583401149068', '88f9ef74-4657-4c95-ba47-1fcf5cfdb6e0', 'c99fff34-0dfe-4923-82e9-9a5de81b3340', '0f765ed5-f2a6-4aef-8346-c7e9683d5305', '1bba74b7-2896-49cd-82d8-6e35fbf9497d', '1531234d-a544-49c0-b118-31f0f26cbc72']"
339842695-800-1,LONG MAXI COAT,Coat with lapel collar and long sleeves with shoulder pads. Front welt pockets. Single button front closure.,169.0,coats,WOMAN,"['41bd404a-e75c-47b9-b61d-2ec0a7b4d9ab', '3e18ca23-12a8-43b9-8958-e5cd8416136b', 'cdfa60c3-9c03-472f-8883-83577b9a013a', '2e636828-0ad0-4512-8d12-67e58f6e196d', '61dfd495-231d-4658-9a1d-d5559130736a', '12ca2de7-78b5-4651-83e1-abe31af13e91', '42b7bd87-4dc5-42d3-948f-72d30ccb8f3d']"
338744518-711-1,DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT,Coat made with 53% wool. High collar and long sleeves with shoulder pads. Front double welt pockets. Front double breasted closure with embossed buttons.,129.0,coats,WOMAN,"['2cbd97f9-fa43-4acb-95d3-88090bb0d172', '4ca55eda-9b75-4f18-b577-989cc429b7bf', '6538274f-2a08-4779-90d8-5bdbf70fdc98', '15c3b440-7ab3-47a0-ad82-2d52c6d369c8', '48808e5b-c83b-442a-a8a1-92d2a55343c2', '416199a3-94b3-4278-8f3d-3ea78c3a1ce5', '1daf9ea7-f9ee-4a27-94fd-6e10196fe521', 'cc44aade-d0dc-48ca-8067-6f0ed6942c81', '2af5fa5e-1c8b-4150-8496-972fd63a5b7f']"
336278235-800-1,TAILORED DOUBLE BREASTED COAT ZW COLLECTION,"ZARA WOMAN COLLECTION

Tailored coat made of 29% viscose. Lapel collar and long sleeves with buttoned slit cuffs. Flap pockets at front. Tonal interior lining. Front double breasted buttoned closure.",169.0,coats,WOMAN,"['81795d6a-dc72-4bc7-b46d-386b44ce4e35', 'df1ce0f7-9a60-44ef-96cf-de8129640e08', 'b1b68d65-309e-421f-ab36-698be062ccf6', 'a7e7f7e8-acdc-49c9-9af6-d067aa0df981', '6cea617a-cfe7-4ff7-808c-687e54e9c88f', 'd5479eb2-0101-4fb3-bec7-0720a5ad41f1', 'e79110a3-6dd9-49a1-a69f-fd4e3ac295f7', '3212f717-d5d3-4d0e-9e91-c05204263815', '1c0361a3-d16e-408b-913c-ba09013e48a0', '4fce3dc0-0791-45cf-9dea-be67d2450a25', '58e99131-ed6e-4930-aaf2-fa27085e4338', 'c504e7ac-09cd-44b8-8731-abfa24c06d3d', '829ae44d-5b2a-449b-a8d1-e73e87d381ec']"
322559569-403-1,MANTECO WOOL COAT ZW COLLECTION,"ZARA WOMAN COLLECTION

Coat made of Manteco wool blend fabric. Notched lapel collar and long sleeves with buttoned slits. Front flap pockets and chest welt pocket. Back slit at hem. Front button closure.",229.0,coats,WOMAN,"['8d9fc3ee-6bc4-4868-8a94-4f2e24d681f4', '2968f51a-a873-4e6a-bcb6-83ac7a7d31f6', 'a5a1eec3-d46c-43ab-84b9-0d2d60e3833c', '719aa2c0-ac23-4c34-8504-405bc26967ae', '4c799a40-7e9e-4384-bc04-b0bfd75886f6', 'e94e7a33-cd4d-4c04-a7a1-9680ca68b8f8', 'ba01ab6d-0468-4fad-93ab-45fe407df383', '252e031e-7b33-486c-8231-c38a02801469', '5f6459e6-8136-43d2-bb35-c14a90e8b854', '274d2c58-bb4f-4f10-bf18-49e32a8fd5d2', '9013b9d3-957b-429d-950d-22a75ef9fe7c', '0466a6b8-2a88-4612-ac5a-ef5809f6f02b', '2e7bfe57-a7d2-4c07-889d-4279fc74a554', '15a0bf01-40c0-48e7-bab1-77aa3e3aa0b7']"
311292227-800-10,FAUX FUR COAT ZW COLLECTION,"ZARA WOMAN COLLECTION

Lapel collar long sleeve coat. Front pockets. Tonal viscose blend interior lining. Front button closure.",189.0,coats,WOMAN,"['665459c5-d95a-4381-8c74-e43c8d39f6c5', '7bbe6334-879f-46dc-bc5d-c6b2b2b4388f', '0d3d419f-ceab-45d8-8209-52fe9c15899e', 'f8bc79f0-b7e9-456d-9f35-8948bceac535', '42a8bdc5-03e5-48b2-8992-302a0d526876', '9669b5fb-4ce0-46eb-b76e-6b5f9014134a', 'c6367bda-62e0-4065-b26b-0b04ea73419a', 'f29a239a-c3b4-42c2-bbd3-c37dbcc91371', 'c44a913d-b033-4ce3-86d1-53ff743232f5', '23d747bf-b0a7-46ef-8a16-a439f953540f', 'f5b7ca89-7c4d-49d0-941a-1ce7b2c55a73', 'a66f0e77-7314-428b-a5fe-fd3c0b4af066']"
324089762-743-1,EXTRA LONG GABARDINE TRENCH,Gabardine trench coat with wrap V-neck lapel collar. Long sleeves with belted cuffs and epaulettes with pleat details. Front welt pockets. Tied self belt. Back slit. Front double breasted buttoned closure.,129.0,coats,WOMAN,"['6fdeb76e-c794-496f-82b3-834337c3e80f', '887bdc14-5e54-484e-8ac8-aaaa7dccde75', '42268136-83aa-4bac-aa2d-9069dedc3768', '2875df12-1dea-4a8d-a352-d5a0de586202', 'ea30104b-4fb7-481f-a5bd-efe97b1ad28d', 'd6991be4-5a0a-4f00-9178-b251b14f9fef', 'f29ad13e-62bb-44b9-aa59-142f8ca7c257', '70ac0301-15b6-46ab-b7ca-52fc9703b60f', '9ac621fb-33bf-4b3c-8fe2-ead31398913b', '0aca08cb-d631-4d1b-97e3-507aff2ca9e3', '830efb6f-c82b-4dfc-b8ba-38e427913b0d', '1a0124dd-e8a9-4a1c-b35a-de4b39eb584e', '6ed7ac98-cd2a-4d11-8b42-3325a71a0e56', 'a5adb8ac-b5de-4197-9daa-48308cf171a1']"
330098406-506-1,VELVET COAT ZW COLLECTION,Cotton coat. Notched lapel collar and long sleeves. Front pockets. Tonal interior lining. Front button closure.,159.0,coats,WOMAN,"['b27b5b2c-0b0a-4d06-8f0c-58485c1d164f', 'f6d2dc9c-347b-494b-8a33-289d3b9e9b5d', '9b5eeb21-d19d-4ad7-906a-381ebaed82c8', '8c0b58b8-3c96-475f-b760-f6b3f7d4b4c7', '03bf06dc-da45-48ca-92f7-33bb8c2e9a13', '8ab7dba0-a19f-48d2-a5a1-95ee29edd2c6', '18fa38fc-0f23-4da4-a039-b68b92809eba', '29bb4bbc-46bb-4013-b25d-d842a7352cff', 'c40eb599-4853-4c80-8eb5-789bcd5da67b', '5764b119-69aa-466a-bb90-9687805f3f4b', 'ef7af7e7-db99-4ab6-abf8-34a1bd8555de', '1d1e29ab-b86b-4dbb-b59e-4d2614521bbc']"
